model,prompt,balanced_mae,mae_bin_0-20,n_bin_0-20,mae_bin_0-20_ci_lo,mae_bin_0-20_ci_hi,mae_bin_20-40,n_bin_20-40,mae_bin_20-40_ci_lo,mae_bin_20-40_ci_hi,mae_bin_40-60,n_bin_40-60,mae_bin_40-60_ci_lo,mae_bin_40-60_ci_hi,mae_bin_60-80,n_bin_60-80,mae_bin_60-80_ci_lo,mae_bin_60-80_ci_hi,mae_bin_80-100,n_bin_80-100,mae_bin_80-100_ci_lo,mae_bin_80-100_ci_hi,overall_mae,rmse,mean_bias,median_bias,p_within_5,p_within_10,exact_zero_rate,spearman_rho,spearman_p,n_images,overall_mae_ci_lo,overall_mae_ci_hi,overall_mae_ci_method,balanced_mae_ci_lo,balanced_mae_ci_hi,balanced_mae_ci_method,balanced_mae_ci_lo_stratified,balanced_mae_ci_hi_stratified,balanced_mae_ci_method_stratified,balanced_mae_ci_empty_bin_violations_stratified,mean_bias_bin_0-20,mean_bias_bin_0-20_ci_lo,mean_bias_bin_0-20_ci_hi,mean_bias_bin_0-20_ci_method,mean_bias_bin_20-40,mean_bias_bin_20-40_ci_lo,mean_bias_bin_20-40_ci_hi,mean_bias_bin_20-40_ci_method,mean_bias_bin_40-60,mean_bias_bin_40-60_ci_lo,mean_bias_bin_40-60_ci_hi,mean_bias_bin_40-60_ci_method,mean_bias_bin_60-80,mean_bias_bin_60-80_ci_lo,mean_bias_bin_60-80_ci_hi,mean_bias_bin_60-80_ci_method,mean_bias_bin_80-100,mean_bias_bin_80-100_ci_lo,mean_bias_bin_80-100_ci_hi,mean_bias_bin_80-100_ci_method
Llama-4-Scout,Point-Hint,13.957161799095186,5.844105037513398,933,5.304908516639551,6.446288022489584,16.210925925925924,108,13.851851851851851,18.98333975255092,13.391304347826088,46,10.434782608695652,16.652173913043477,15.539473684210526,38,12.219259110168405,19.236842105263158,18.8,30,13.933333333333334,26.49357338922579,7.769549783549784,13.16311013065257,4.3807186147186155,2.0,0.6173160173160173,0.7471861471861472,0.2865800865800866,0.822156609882908,2.138964436125199e-284,1155,7.19790509922124,8.410328348214266,BCa,12.50064719612805,15.812299488980056,BCa,12.549574767590816,15.809423943645582,BCa,0,5.131243301178992,4.569180988680191,5.76512886955763,BCa,9.340555555555556,5.949074074074074,13.044400831689309,BCa,-0.6956521739130435,-5.608695652173913,3.9591920802906078,BCa,-4.25,-10.250366248565596,1.5394736842105263,BCa,-18.1,-25.933333333333334,-12.966666666666667,BCa
Mistral-Small-3.2,Point-Hint,14.048447263365555,4.917738478027867,933,4.513464287610262,5.364878736644395,8.36111111111111,108,7.12962962962963,9.87962962962963,14.173913043478262,46,11.80533605028628,16.565217391304348,18.789473684210527,38,14.2053667129837,23.68421052631579,24.0,30,19.966666666666665,29.033333333333335,6.560389610389611,10.777764809352368,1.0016883116883115,0.4,0.6623376623376623,0.780952380952381,0.12294372294372294,0.6772403929582805,7.723066551979786e-156,1155,6.093849359781969,7.079459180433654,BCa,12.677377330832929,15.551684868256581,BCa,12.67003100308587,15.543602828189197,BCa,0,3.363290460878885,2.8947039800841976,3.8867796696413084,BCa,-1.6203703703703705,-3.611111111111111,0.5648148148148148,BCa,-9.217391304347826,-13.021739130434783,-5.1521739130434785,BCa,-17.42105263157895,-22.81578947368421,-12.421052631578947,BCa,-24.0,-29.17845047100338,-19.933333333333334,BCa
Gemma-3-12B,Point-Hint,14.264157003877107,7.2898713826366555,933,6.756030018129371,7.855984733879163,13.601851851851851,108,11.75,15.75925925925926,13.08695652173913,46,10.543478260869565,15.828859640277939,14.342105263157896,38,11.026315789473685,18.270875301941487,23.0,30,18.766666666666666,29.066666666666666,8.751038961038962,12.99561356233217,4.915541125541125,4.0,0.5714285714285714,0.6727272727272727,0.0008658008658008658,0.7189541550737341,2.3109085162020742e-184,1155,8.216091737303444,9.333638097598007,BCa,12.982433549357596,15.788479507810608,BCa,12.979810430281516,15.748731152407725,BCa,0,6.7175241157556265,6.16353422621163,7.320539440306782,BCa,4.638888888888889,1.6111111111111112,7.840712928972034,BCa,-1.173913043478261,-5.673913043478261,3.3260869565217392,BCa,-9.131578947368421,-14.303532589158175,-4.2368421052631575,BCa,-23.0,-29.166666666666668,-18.933333333333334,BCa
Qwen-2.5,Detailed,14.36852888235937,4.2379957127545556,933,3.8702036441586283,4.627401737459595,6.87962962962963,108,5.703703703703703,8.481481481481481,15.347826086956522,46,12.905602604493486,17.717391304347824,23.710526315789473,38,18.894736842105264,28.42105263157895,21.666666666666668,30,17.166666666666668,27.633333333333333,6.020822510822511,10.374629707051792,0.5964935064935065,0.5,0.7428571428571429,0.8121212121212121,0.21471861471861473,0.8071669899313251,3.3911279500443515e-266,1155,5.565265181153314,6.544323300240657,BCa,12.885636494612706,15.951007737833613,BCa,12.917904653579646,15.914546875368767,BCa,0,2.9313504823151124,2.525088629943536,3.3761772587579624,BCa,0.32407407407407407,-1.5092592592592593,2.25,BCa,-12.478260869565217,-15.748356272841328,-8.630434782608695,BCa,-22.55263157894737,-27.68421052631579,-17.05263157894737,BCa,-21.666666666666668,-27.366666666666667,-17.1417348330855,BCa
Gemma-3-27B,Grid-Overlay,14.380937610114106,12.22556270096463,933,11.702491131731255,12.804311860035458,9.722222222222221,108,8.175925925925926,11.636649211087995,10.91304347826087,46,8.76086956521739,13.282608695652174,15.710526315789474,38,11.921052631578947,19.842105263157894,23.333333333333332,30,19.433333333333334,27.933333333333334,12.342380952380953,15.265719951175104,9.337619047619048,10.0,0.35844155844155845,0.470995670995671,0.0017316017316017316,0.7489312839142598,2.7234442196518387e-208,1155,11.8397665353463,12.858294117726393,BCa,13.13946223784195,15.725664672753993,BCa,13.163670588466593,15.737036211900845,BCa,0,12.15,11.621094034697169,12.721346944017737,BCa,7.685185185185185,5.738686160600691,9.828289089905951,BCa,-4.0,-7.521739130434782,-0.043478260869565216,BCa,-13.078947368421053,-18.0,-8.18421052631579,BCa,-23.333333333333332,-27.9,-19.5,BCa
Gemma-3-27B,Point-Hint,14.456707233622993,8.934565916398714,933,8.471808795685925,9.44917651723275,8.0,108,6.9309745240943075,9.407407407407407,12.717391304347826,46,10.847826086956522,14.76086956521739,16.63157894736842,38,12.473684210526315,21.55263157894737,26.0,30,21.740650033119024,31.333333333333332,9.694329004329004,12.902684290672306,5.952337662337662,5.0,0.49004329004329006,0.6658008658008658,0.0008658008658008658,0.7526975364899144,1.5391910184803555e-211,1155,9.235324675324675,10.22263889300084,BCa,13.15135914982916,16.00610963481765,BCa,13.164627697694497,15.941592234044142,BCa,0,8.763076098606644,8.300606466752876,9.285723585399465,BCa,3.425925925925926,1.6218272871960715,5.351851851851852,BCa,-6.934782608695652,-10.347826086956522,-3.0869565217391304,BCa,-15.052631578947368,-20.42105263157895,-10.263157894736842,BCa,-26.0,-31.4,-21.7,BCa
Gemma-3-27B,Short,14.66259819010222,6.7571811361200425,933,6.387973025132296,7.174109646400601,6.944444444444445,108,5.842592592592593,8.305555555555555,15.804347826086957,46,13.326086956521738,18.23913043478261,18.473684210526315,38,13.68421052631579,23.789473684210527,25.333333333333332,30,19.533333333333335,31.866666666666667,8.002987012987012,11.504979065171883,3.429393939393939,4.9,0.6155844155844156,0.7731601731601732,0.01038961038961039,0.763050154664965,8.894489671769126e-221,1155,7.545331342179533,8.502384608717943,BCa,12.975391851548187,16.398952514506767,BCa,13.05045038165629,16.373200125647827,BCa,0,6.379367631296891,5.9817693207064995,6.823947910005349,BCa,-1.0185185185185186,-2.7087834028382773,0.8333333333333334,BCa,-10.847826086956522,-14.673913043478262,-6.314896450589439,BCa,-16.36842105263158,-22.236842105263158,-10.763157894736842,BCa,-25.333333333333332,-31.876943937742933,-19.466666666666665,BCa
Gemma-3-12B,Grid-Overlay,15.73782851236235,9.905627009646302,933,9.374735934843345,10.470990593897481,10.592592592592593,108,9.175925925925926,12.42663612737966,11.434782608695652,46,9.347826086956522,13.496598797474215,16.289473684210527,38,12.394736842105264,20.473684210526315,30.466666666666665,30,25.533333333333335,35.56666666666667,10.774848484848485,14.339650701850525,6.884805194805194,5.0,0.43203463203463205,0.5471861471861472,0.0,0.7077241973614278,3.4601961929682614e-176,1155,10.248528138528139,11.33987202102107,BCa,14.3908389708777,17.2057794667376,BCa,14.38934151554093,17.132195775076564,BCa,0,9.655894962486602,9.091823578447716,10.228792701444222,BCa,5.444444444444445,3.1666666666666665,7.881958624317341,BCa,-4.217391304347826,-7.695652173913044,-0.47694105544376175,BCa,-14.131578947368421,-19.05263157894737,-9.5,BCa,-30.466666666666665,-35.833333333333336,-25.766666666666666,BCa
Mistral-Small-3.2,Short,15.925771065126506,5.234351554126474,933,4.8792988673463995,5.615228244416184,7.546296296296297,108,6.472222222222222,8.88888888888889,16.304347826086957,46,13.695652173913043,18.891304347826086,24.710526315789473,38,19.257151232125437,30.13157894736842,25.833333333333332,30,21.566666666666666,31.0,7.067229437229438,11.121616076625022,1.2527705627705625,2.0,0.6303030303030303,0.8138528138528138,0.07532467532467532,0.6993898494901589,2.2847838196528755e-170,1155,6.575870425888683,7.589913752396644,BCa,14.446355315763102,17.561346994701974,BCa,14.498757272403546,17.541947245437907,BCa,0,4.413665594855305,4.011773336405312,4.845479971976122,BCa,-3.6574074074074074,-5.333333333333333,-1.8981481481481481,BCa,-13.565217391304348,-17.043478260869566,-9.565217391304348,BCa,-23.07894736842105,-28.973684210526315,-17.157894736842106,BCa,-25.833333333333332,-30.933333333333334,-21.433333333333334,BCa
Mistral-Small-3.2,Detailed,18.560615121069993,7.848821007502679,933,7.453826556470186,8.273022482316009,6.935185185185185,108,6.037037037037037,7.944444444444445,16.32608695652174,46,13.847826086956522,18.695652173913043,26.026315789473685,38,20.68421052631579,31.07894736842105,35.666666666666664,30,30.8,40.833333333333336,9.421601731601733,13.141334527367194,3.21034632034632,4.9,0.5134199134199134,0.6424242424242425,0.012121212121212121,0.5887141853206791,1.140433220562749e-108,1155,8.911429950283642,9.998131588703227,BCa,17.00949639582249,20.132169805411017,BCa,17.083481515678262,20.157928581340695,BCa,0,7.169292604501607,6.719758567778397,7.636187433874601,BCa,-2.7314814814814814,-4.273595940488028,-1.1944444444444444,BCa,-14.108695652173912,-17.130434782608695,-10.496166223699655,BCa,-25.44736842105263,-30.713445102483355,-19.68421052631579,BCa,-35.666666666666664,-40.7,-30.633333333333333,BCa
Gemma-3-12B,Detailed,20.36248762974899,7.539067524115755,933,7.120734542356677,7.985067560015158,9.925925925925926,108,8.61111111111111,11.574074074074074,19.391304347826086,46,16.82608695652174,21.97826086956522,26.289473684210527,38,21.689283248320496,31.394736842105264,38.666666666666664,30,31.066666666666666,46.3,9.65969696969697,14.048772419450266,3.0804761904761904,4.9,0.5151515151515151,0.638961038961039,0.0017316017316017316,0.7001332397049469,7.046391650686785e-171,1155,9.091046013714005,10.283658652847725,BCa,18.44653360923942,22.3625472624302,BCa,18.439274003701517,22.33238389577789,BCa,0,7.057824222936763,6.605287205739605,7.538090693693875,BCa,-3.6666666666666665,-5.833333333333333,-1.2741133078757567,BCa,-13.782608695652174,-18.043478260869566,-8.391304347826088,BCa,-22.55263157894737,-28.710526315789473,-15.526315789473685,BCa,-38.0,-45.86666666666667,-29.839122192459218,BCa
Gemma-3-27B,Detailed,21.249099771112544,9.029421221864952,933,8.66842584001638,9.423514056266729,9.018518518518519,108,7.851851851851852,10.36111111111111,20.47826086956522,46,17.369565217391305,23.956521739130434,25.05263157894737,38,19.210526315789473,31.44736842105263,42.666666666666664,30,34.25682648418815,50.333333333333336,10.885238095238096,14.875097511412353,4.304718614718615,5.0,0.4406926406926407,0.5757575757575758,0.0017316017316017316,0.715519394518596,8.06110759912513e-182,1155,10.329030182075577,11.494051377996401,BCa,19.103317787108004,23.387064838497537,BCa,19.140086013578582,23.383331169486752,BCa,0,8.733065380493032,8.334381552527633,9.156144270285242,BCa,-2.4074074074074074,-4.537037037037037,-0.3055555555555556,BCa,-16.17391304347826,-20.858858848316842,-11.067187847899612,BCa,-23.473684210526315,-30.18421052631579,-16.92105263157895,BCa,-42.666666666666664,-50.36666666666667,-34.12105629377541,BCa
Llama-4-Maverick,Detailed,30.0386919132337,3.212486602357985,933,2.926353667375673,3.5271498740229017,16.87037037037037,108,14.717592592592593,19.189814814814813,32.391304347826086,46,26.804347826086957,38.15217391304348,38.05263157894737,38,31.473684210526315,45.15828555609024,59.666666666666664,30,48.86666666666667,69.46364424795836,8.264285714285714,17.31369193937066,-5.524112554112555,-0.1,0.6883116883116883,0.7922077922077922,0.48744588744588746,0.5943765828832545,2.9700417459306733e-111,1155,7.438520969240936,9.189387505195583,BCa,27.28444321302539,32.807310180874865,BCa,27.265477059333087,32.73865659210439,BCa,0,-0.008949624866023605,-0.3714165104888182,0.3562248027293363,BCa,-15.518518518518519,-18.01388888888889,-12.93236979551002,BCa,-32.17391304347826,-38.06521739130435,-26.32608695652174,BCa,-37.526315789473685,-44.973684210526315,-30.5,BCa,-59.666666666666664,-69.46666666666667,-49.2,BCa
Llama-4-Scout,Detailed,32.02873673963868,3.7618971061093247,933,3.4483053480294874,4.130314865291879,20.48148148148148,108,18.37962962962963,22.453703703703702,35.06521739130435,46,29.456521739130434,40.08695652173913,38.86842105263158,38,30.894736842105264,46.974352815484195,61.96666666666667,30,48.96666666666667,72.96666666666667,9.238831168831167,18.60598859744657,-5.048528138528138,0.0,0.6614718614718614,0.7523809523809524,0.47878787878787876,0.5262760346018461,2.8417296874154178e-83,1155,8.373653540654113,10.25129041555267,BCa,28.68003978560486,35.00598743096423,BCa,28.782956518517825,35.00381844182654,BCa,0,0.917416934619507,0.5234019912013073,1.3356760552046796,BCa,-18.09259259259259,-20.65740740740741,-15.185185185185185,BCa,-35.06521739130435,-40.17391304347826,-29.565217391304348,BCa,-34.13157894736842,-43.55263157894737,-23.877656936783893,BCa,-60.766666666666666,-72.41727708920054,-46.43333333333333,BCa
