question_id,configuration,selection_metric,combination,model_level,prompt_level,n_members,is_own_arm,overall_mae,balanced_mae,mean_bias,mae_bin_0-20,n_bin_0-20,mae_bin_0-20_repeat_median,mae_bin_0-20_repeat_min,mae_bin_0-20_repeat_max,mae_bin_20-40,n_bin_20-40,mae_bin_20-40_repeat_median,mae_bin_20-40_repeat_min,mae_bin_20-40_repeat_max,mae_bin_40-60,n_bin_40-60,mae_bin_40-60_repeat_median,mae_bin_40-60_repeat_min,mae_bin_40-60_repeat_max,mae_bin_60-80,n_bin_60-80,mae_bin_60-80_repeat_median,mae_bin_60-80_repeat_min,mae_bin_60-80_repeat_max,mae_bin_80-100,n_bin_80-100,mae_bin_80-100_repeat_median,mae_bin_80-100_repeat_min,mae_bin_80-100_repeat_max,repeat_median_balanced_mae,repeat_min_balanced_mae,repeat_max_balanced_mae,repeat_median_overall_mae,repeat_min_overall_mae,repeat_max_overall_mae,balanced_mae_median_rank,balanced_mae_best_rank,balanced_mae_worst_rank,balanced_mae_share_ranked_first,overall_mae_median_rank,overall_mae_best_rank,overall_mae_worst_rank,overall_mae_share_ranked_first,balanced_mae_interval_uncorrected,no_bootstrap,no_pairwise_test,is_ensemble,overall_mae_offarm,balanced_mae_offarm,c1_serving_confounded,c1_serving_confounded_always,c1_serving_confounded_share_of_folds
Q2,top3M x Point-Hint,MAE_b,mean,top3M,Point-Hint,3,False,6.366801731601733,12.751064454097014,2.289708513708514,4.994279385494815,933,5.007002500893175,4.723097534833863,5.377759914255085,7.7675925925925915,108,7.786265432098766,7.1867283950617304,8.436728395061728,11.52,46,11.554347826086955,10.695652173913045,12.384057971014492,17.621228070175437,38,17.649122807017548,16.7280701754386,18.52631578947369,21.85222222222222,30,21.805555555555557,20.55555555555555,22.944444444444443,12.750710244441846,12.287556216047154,13.087430108115871,6.363419913419913,6.092972582972583,6.726796536796536,29.0,25.0,30.0,0.0,,,,,False,True,True,True,6.366801731601733,,True,False,0.408
Q2,top2M x Short,MAE_b,mean,top2M,Short,2,False,6.655109956709956,13.121137771417219,2.2507186147186147,5.31245659163987,933,5.249892818863879,5.131243301178991,5.702518756698816,6.989166666666668,108,6.712962962962963,6.583333333333333,7.912037037037037,13.311521739130432,46,13.369565217391305,12.445652173913043,14.021739130434783,20.39921052631579,38,20.63157894736842,19.31578947368421,21.289473684210527,19.593333333333334,30,19.75,18.083333333333332,20.666666666666668,13.142799989317314,12.707828267096591,13.535997837846088,6.592770562770562,6.49017316017316,6.946709956709956,30.0,29.0,34.0,0.0,,,,,False,True,True,True,6.655109956709956,,True,False,0.032
Q2,top2M x Point-Hint,MAE_b,mean,top2M,Point-Hint,2,False,6.140818181818181,13.249101637039924,1.3485151515151514,4.642224008574493,933,4.5647374062165085,4.522025723472671,5.05273311897106,7.142037037037037,108,6.958333333333333,6.851851851851852,7.888888888888889,12.15282608695652,46,12.173913043478262,11.304347826086957,12.793478260869565,20.228421052631578,38,20.236842105263158,19.38157894736842,21.039473684210527,22.079999999999995,30,22.083333333333332,20.75,23.333333333333332,13.20343184432492,12.97012282364111,13.66140858849829,6.062251082251082,6.008051948051947,6.528961038961039,31.0,31.0,38.0,0.0,,,,,False,True,True,True,6.140818181818181,,True,False,0.032
Q2,all6M x all4P,MAE_b,mean,all6M,all4P,24,False,6.831341269841271,13.317231851889545,2.8767236652236647,5.611178099321176,933,5.611178099321175,5.611178099321175,5.611178099321175,6.455547839506169,108,6.4555478395061705,6.4555478395061705,6.4555478395061705,11.401268115942033,46,11.401268115942033,11.401268115942033,11.401268115942033,17.47094298245614,38,17.470942982456144,17.470942982456144,17.470942982456144,25.64722222222222,30,25.647222222222222,25.647222222222222,25.647222222222222,13.317231851889549,13.317231851889549,13.317231851889549,6.83134126984127,6.83134126984127,6.83134126984127,33.0,30.0,34.0,0.0,,,,,False,True,True,True,6.831341269841271,,True,True,1.0
Q2,top2M x all4P,MAE_b,mean,top2M,all4P,8,False,6.611355627705628,13.35539183422065,2.2120616883116884,5.297855841371918,933,5.265769024651662,5.002518756698821,5.591693461950694,6.295914351851851,108,6.174768518518518,6.082175925925926,6.751157407407407,12.059456521739133,46,12.078804347826088,11.331521739130435,12.706521739130435,20.601315789473684,38,20.56578947368421,19.661184210526315,21.30263157894737,22.52241666666667,30,22.291666666666668,22.104166666666668,23.416666666666668,13.27535960626943,13.27535960626943,13.719742280192147,6.56771645021645,6.386991341991341,6.884458874458874,32.0,32.0,38.0,0.0,,,,,False,True,True,True,6.611355627705628,,True,False,0.032
Q2,Llama-4-Maverick x all4P,MAE_b,mean,Llama-4-Maverick,all4P,4,False,5.55508658008658,13.459165979241252,0.7141774891774891,3.825160771704177,933,3.8251607717041765,3.8251607717041765,3.8251607717041765,7.814814814814817,108,7.814814814814815,7.814814814814815,7.814814814814815,12.657608695652172,46,12.657608695652174,12.657608695652174,12.657608695652174,16.381578947368425,38,16.38157894736842,16.38157894736842,16.38157894736842,26.616666666666664,30,26.616666666666667,26.616666666666667,26.616666666666667,13.459165979241249,13.459165979241249,13.459165979241249,5.55508658008658,5.55508658008658,5.55508658008658,36.0,33.0,37.0,0.0,,,,,False,True,True,True,5.55508658008658,,False,False,0.0
Q2,top3M x all4P,MAE_b,mean,top3M,all4P,12,False,6.788109668109668,13.506125260179275,2.6257708513708513,5.495369774919608,933,5.494658806716679,5.109485530546618,6.072338335119678,6.517453703703705,108,6.525077160493828,6.107638888888887,6.925925925925927,11.845978260869565,46,11.86141304347826,11.02717391304348,12.610507246376814,19.266491228070173,38,19.276315789473678,18.660087719298243,19.88815789473684,24.405333333333328,30,24.438888888888886,23.741666666666664,25.019444444444442,13.486351120176405,13.259808578365178,13.74656564204171,6.78809163059163,6.463939393939394,7.261681096681097,37.0,32.0,38.0,0.0,,,,,False,True,True,True,6.788109668109668,,True,False,0.408
Q2,Gemma-3-12B x top3P,MAE_b,mean,Gemma-3-12B,top3P,3,False,9.406738816738816,13.960635440883816,6.100822510822512,8.34917827795641,933,8.34917827795641,8.34917827795641,8.34917827795641,12.006172839506167,108,12.006172839506169,12.006172839506169,12.006172839506169,11.34782608695652,46,11.347826086956522,11.347826086956522,11.347826086956522,14.16666666666666,38,14.166666666666664,14.166666666666664,14.166666666666664,23.933333333333334,30,23.93333333333333,23.93333333333333,23.93333333333333,13.960635440883816,13.960635440883816,13.960635440883816,9.406738816738816,9.406738816738816,9.406738816738816,41.0,41.0,41.0,0.0,,,,,False,True,True,True,9.406738816738816,,False,False,0.0
Q2,Gemma-3-27B x top3P,MAE_b,mean,Gemma-3-27B,top3P,3,False,9.847287157287157,14.193193131250695,6.23978354978355,9.218953197570537,933,9.218953197570537,9.218953197570537,9.218953197570537,7.500000000000001,108,7.500000000000001,7.500000000000001,7.500000000000001,12.507246376811597,46,12.507246376811596,12.507246376811596,12.507246376811596,16.850877192982455,38,16.850877192982455,16.850877192982455,16.850877192982455,24.888888888888893,30,24.888888888888893,24.888888888888893,24.888888888888893,14.193193131250695,14.193193131250695,14.193193131250695,9.847287157287157,9.847287157287157,9.847287157287157,44.0,43.0,45.0,0.0,,,,,False,True,True,True,9.847287157287157,,False,False,0.0
Q2,Gemma-3-12B x top2P,MAE_b,mean,Gemma-3-12B,top2P,2,False,9.802722943722944,14.234572501675299,6.530168831168831,8.804206859592693,933,8.761870310825275,8.502090032154321,8.982261521972115,12.007037037037039,108,11.95138888888889,11.36574074074074,12.782407407407407,11.443478260869565,46,11.347826086956522,11.021739130434783,12.217391304347826,14.639473684210525,38,14.447368421052632,13.81578947368421,15.5,24.278666666666663,30,24.4,23.233333333333334,25.066666666666666,14.175789112598505,14.059563726720526,14.596376863372527,9.790541125541125,9.603852813852814,9.916839826839828,43.0,43.0,52.0,0.0,,,,,False,True,True,True,9.802722943722944,,False,False,0.0
