question_id,model,prompt,overall_mae_local,overall_mae_local_ci_lo,overall_mae_local_ci_hi,overall_mae_api,overall_mae_api_ci_lo,overall_mae_api_ci_hi,overall_mae_diff_local_minus_api,overall_mae_diff_ci_lo,overall_mae_diff_ci_hi,overall_mae_diff_ci_method,balanced_mae_local,balanced_mae_local_ci_lo,balanced_mae_local_ci_hi,balanced_mae_api,balanced_mae_api_ci_lo,balanced_mae_api_ci_hi,balanced_mae_diff_local_minus_api,balanced_mae_diff_ci_lo,balanced_mae_diff_ci_hi,balanced_mae_diff_ci_method,balanced_mae_interval_uncorrected,floor_not_estimable_for_balanced_mae,maverick_floor_delta,caveat,tier,corrected,claim_wording,rank_local,rank_api,rank_change_local_minus_api
Q7,Qwen-2.5,Detailed,6.020822510822511,5.571207753008066,6.536429209952445,5.4119913419913415,4.973305807526545,5.93126689086328,0.6088311688311698,0.3069746910115264,0.8911025013619811,BCa,14.36852888235937,12.898512939315829,15.950229258456236,15.299833535405066,13.66715400227244,17.166226842446218,-0.9313046530456983,-2.5741458191780966,-0.05383409121783799,BCa,True,False,,,secondary,False,stack and possibly weights,14,9,5
Q7,Gemma-3-27B,Grid-Overlay,12.342380952380953,11.844153696705765,12.87970518990554,12.34021645021645,11.819889856324414,12.898043412712628,0.00216450216450248,-0.36660535348714157,0.35854558237318845,BCa,14.380937610114106,13.148663401541492,15.758567959986118,15.554414707333908,14.125908866701515,16.998139350869536,-1.1734770972198056,-2.2808341164182253,-0.06549190277354493,BCa,True,False,,,secondary,False,stack and possibly weights,15,13,2
Q7,Gemma-3-27B,Point-Hint,9.694329004329004,9.225993455090109,10.203085625877172,10.032857142857143,9.541783951995596,10.598923029149294,-0.33852813852813846,-0.6441558441558444,-0.04675324675324788,BCa,14.456707233622993,13.115497535306865,15.943856902245901,16.316390734513718,14.772670457032264,17.95338847045011,-1.8596835008907213,-2.8871152745381616,-0.9862624690557185,BCa,True,False,,,secondary,False,stack and possibly weights,16,15,1
Q7,Gemma-3-27B,Short,8.002987012987012,7.5673693688489605,8.516883080669961,8.264025974025975,7.808852240048335,8.785011933361652,-0.2610389610389632,-0.543064231642665,0.021991341991341878,BCa,14.66259819010222,12.986079720262286,16.447141288633624,16.40305002140625,14.933599858455446,17.922241252460463,-1.740451831304032,-2.854423064210492,-0.5586313387744899,BCa,True,False,,,secondary,False,stack and possibly weights,17,16,1
Q7,Gemma-3-12B,Grid-Overlay,10.774848484848485,10.24553855232726,11.33407602050662,10.355800865800866,9.828951968506265,10.93151173614868,0.41904761904761934,0.04935064935064956,0.7688311688311684,BCa,15.73782851236235,14.367431324958568,17.2196163065101,17.334909607304997,15.910540577733256,18.753059016204073,-1.597081094942645,-2.73708261390508,-0.4832550138417755,BCa,True,False,,,secondary,False,stack and possibly weights,18,17,1
Q7,Mistral-Small-3.2,Short,7.067229437229438,6.593860105171307,7.581385281385281,6.230259740259739,5.679366184523774,6.848737506011179,0.8369696969696987,0.4708555116360227,1.196366629882599,BCa,15.925771065126506,14.40903214799479,17.531670487631597,20.3932274003274,18.624091072656675,22.070302468894955,-4.467456335200895,-5.790893964905587,-3.3445801912608184,BCa,True,False,,,secondary,False,stack and possibly weights,19,19,0
Q7,Mistral-Small-3.2,Detailed,9.421601731601733,8.920255342165413,9.990445908332727,6.938917748917748,6.296007791762155,7.700328666031968,2.4826839826839846,1.9278912419974839,3.019656406692051,BCa,18.560615121069993,16.965528006017763,20.088798366805065,26.04007833788301,24.14646472406694,27.922479021623765,-7.4794632168130235,-9.036513161163025,-6.049628953783944,BCa,True,False,,,secondary,False,stack and possibly weights,20,23,-3
Q7,Gemma-3-12B,Detailed,9.65969696969697,9.094947658153469,10.28125870651684,9.546277056277058,8.965567473314826,10.191645123679638,0.11341991341991253,-0.24761904761904704,0.47532467532467493,BCa,20.36248762974899,18.4312197958742,22.315936036195833,21.942746393298904,19.962277737231318,24.004137645477837,-1.5802587635499101,-3.00564922452276,0.04185504358814581,BCa,True,False,,,secondary,False,stack and possibly weights,21,21,0
Q7,Gemma-3-27B,Detailed,10.885238095238096,10.333033525963991,11.48927404721098,10.864891774891776,10.278665924048399,11.54770091363786,0.020346320346320113,-0.2969696969696969,0.33010805872397275,BCa,21.249099771112544,19.040489038776816,23.410943315837436,23.426338114107985,21.134467816723078,25.559966036336615,-2.177238342995441,-3.369191959407635,-1.206985257796956,BCa,True,False,,,secondary,False,stack and possibly weights,22,22,0
Q7,Llama-4-Maverick,Detailed,8.264285714285714,7.464685449406587,9.204950772128669,7.997186147186147,7.339825125707817,8.75564975128488,0.2670995670995673,-0.417755332884232,0.9724439888756965,BCa,30.0386919132337,27.22364624482464,32.750892375247595,21.2322596552272,18.702564744955797,23.9916023917202,8.806432258006492,5.694426149396894,11.867911000793312,BCa,True,True,0.65,Maverick's balanced-MAE effect sits above a reproducibility floor this data cannot quantify on the balanced-MAE scale; the nearest available bound is the overall-MAE run-to-run floor delta_Mav=0.650.,secondary,False,stack and possibly weights,23,20,3
Q7,Llama-4-Scout,Detailed,9.238831168831167,8.377634933662716,10.224909087050655,14.024285714285714,13.152251082251084,14.977445887445885,-4.785454545454547,-5.5857548722853325,-3.9904761904761905,BCa,32.02873673963868,28.734438776298088,35.04093332688571,29.414123721313786,26.37474587270507,32.20460410488381,2.6146130183248957,0.2578543765776604,4.766961482108201,BCa,True,False,,,secondary,False,stack and possibly weights,24,24,0
