question_id,row_type,model,prompt,cutoff,cutoff_label,n_retained,n_cell_usable,n_excluded_unusable_confidence,retained_fraction,pooled_mae,ci_lo,ci_hi,ci_method,n_boot_replicates_defined,boot_replicates_undefined_fraction,ci_degenerate,share_retained_0_20_bin,unfiltered_share_0_20_bin,row_type_perbin_change,representative_cutoff,representative_cutoff_retained_fraction,bin,n_before,mae_before,ci_lo_before,ci_hi_before,ci_method_before,n_boot_replicates_defined_before,ci_degenerate_before,n_after,mae_after,ci_lo_after,ci_hi_after,ci_method_after,n_boot_replicates_defined_after,ci_degenerate_after
Q5,single_configuration,Gemma-3-27B,Point-Hint,,retain_all,1155.0,1155.0,0.0,1.0,9.694329004329004,9.223110201051231,10.19095410589583,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Point-Hint,0.7,0.7,1155.0,1155.0,0.0,1.0,9.694329004329004,9.223110201051231,10.19095410589583,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Point-Hint,0.75,0.75,1152.0,1155.0,0.0,0.9974025974025974,9.708029513888889,9.239629088883076,10.2107934411442,BCa,10000.0,0.0,False,0.8072916666666666,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Point-Hint,0.8,0.8,1085.0,1155.0,0.0,0.9393939393939394,10.001152073732719,9.51055210065625,10.537271724099243,BCa,10000.0,0.0,False,0.7953917050691244,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Point-Hint,0.85,0.85,127.0,1155.0,0.0,0.10995670995670996,10.900787401574805,9.258229491226185,12.806238518975421,BCa,10000.0,0.0,False,0.5905511811023622,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Point-Hint,0.95,0.95,1.0,1155.0,0.0,0.0008658008658008658,1.0,1.0,1.0,"percentile (BCa fallback, degenerate: n_retained=1 < 30, 36.4% of replicates undefined)",6356.0,0.36439999999999995,True,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Short,,retain_all,1155.0,1155.0,0.0,1.0,8.002987012987012,7.551890572038712,8.51984048857719,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Short,0.8,0.8,1155.0,1155.0,0.0,1.0,8.002987012987012,7.551890572038712,8.51984048857719,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Short,0.85,0.85,1122.0,1155.0,0.0,0.9714285714285714,8.109358288770053,7.6492039871080895,8.636496659934114,BCa,10000.0,0.0,False,0.803921568627451,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Short,0.9,0.9,242.0,1155.0,0.0,0.20952380952380953,4.092561983471075,3.8237349526428623,4.421942166617528,BCa,10000.0,0.0,False,0.9628099173553719,0.8077922077922078,,,,,,,,,,,,,,,,,,
