model,bin,mae,n,mae_ci_lo,mae_ci_hi,mean_bias,mean_bias_ci_lo,mean_bias_ci_hi,mean_bias_ci_method,axis,prompt
Qwen-2.5,40-60,12.478260869565217,46,10.217391304347826,14.91304347826087,-9.434782608695652,-12.630434782608695,-5.956521739130435,BCa,combo,Point-Hint
Qwen-2.5,60-80,21.94736842105263,38,17.5,26.63157894736842,-21.36842105263158,-26.289473684210527,-16.56279290252209,BCa,combo,Point-Hint
Qwen-2.5,80-100,20.166666666666668,30,16.566666666666666,24.0,-20.166666666666668,-24.1,-16.6,BCa,combo,Point-Hint
Llama-4-Scout,0-20,4.756752411575563,933,4.301382904770915,5.355871343109038,3.87508038585209,3.383097596244648,4.478016978946156,BCa,combo,Grid-Overlay
Llama-4-Scout,20-40,13.277777777777779,108,11.25462962962963,15.580184904262406,3.4166666666666665,0.4027777777777778,6.862388780508,BCa,combo,Grid-Overlay
Llama-4-Scout,40-60,16.782608695652176,46,14.152173913043478,19.67391304347826,-4.260869565217392,-9.717391304347826,1.2391304347826086,BCa,combo,Grid-Overlay
Llama-4-Scout,60-80,15.18421052631579,38,11.605263157894736,19.763157894736842,-9.5,-15.196281665520747,-4.342105263157895,BCa,combo,Grid-Overlay
Llama-4-Scout,80-100,17.033333333333335,30,13.033333333333333,23.133333333333333,-16.233333333333334,-22.733333333333334,-11.833333333333334,BCa,combo,Grid-Overlay
Mistral-Small-3.2,0-20,6.00069667738478,933,5.579724178011674,6.439528373353186,5.139281886387995,4.676634512325831,5.630429940821501,BCa,combo,Grid-Overlay
Mistral-Small-3.2,20-40,7.953703703703703,108,6.851851851851852,9.38888888888889,-0.046296296296296294,-1.9907407407407407,1.9074074074074074,BCa,combo,Grid-Overlay
Mistral-Small-3.2,40-60,13.956521739130435,46,11.674971914553485,16.41304347826087,-7.260869565217392,-11.346255498537973,-3.0,BCa,combo,Grid-Overlay
Mistral-Small-3.2,60-80,18.657894736842106,38,14.105263157894736,23.86842105263158,-17.026315789473685,-22.81578947368421,-11.801549348675556,BCa,combo,Grid-Overlay
Mistral-Small-3.2,80-100,21.666666666666668,30,17.966666666666665,26.285054345015183,-21.666666666666668,-26.633333333333333,-18.1,BCa,combo,Grid-Overlay
Gemma-3-12B,0-20,8.190836012861736,933,7.675175418299788,8.78124573319514,7.8627545551982845,7.322122747729755,8.444212218649518,BCa,combo,Short
Gemma-3-12B,20-40,13.731481481481481,108,11.678681457581314,15.871599415372085,8.194444444444445,5.25,11.222631202383816,BCa,combo,Short
Gemma-3-12B,40-60,13.956521739130435,46,11.5,16.41304347826087,-0.08695652173913043,-4.804347826086956,4.760869565217392,BCa,combo,Short
Gemma-3-12B,60-80,14.710526315789474,38,11.421052631578947,18.18421052631579,-4.131578947368421,-9.736842105263158,1.5526315789473684,BCa,combo,Short
Gemma-3-12B,80-100,19.133333333333333,30,14.2,25.366666666666667,-18.333333333333332,-24.8,-13.0,BCa,combo,Short
Llama-4-Scout,0-20,5.844105037513398,933,5.304908516639551,6.446288022489584,5.131243301178992,4.569180988680191,5.76512886955763,BCa,combo,Point-Hint
Llama-4-Scout,20-40,16.210925925925924,108,13.851851851851851,18.98333975255092,9.340555555555556,5.949074074074074,13.044400831689309,BCa,combo,Point-Hint
Llama-4-Scout,40-60,13.391304347826088,46,10.434782608695652,16.652173913043477,-0.6956521739130435,-5.608695652173913,3.9591920802906078,BCa,combo,Point-Hint
Llama-4-Scout,60-80,15.539473684210526,38,12.219259110168405,19.236842105263158,-4.25,-10.250366248565596,1.5394736842105263,BCa,combo,Point-Hint
Llama-4-Scout,80-100,18.8,30,13.933333333333334,26.49357338922579,-18.1,-25.933333333333334,-12.966666666666667,BCa,combo,Point-Hint
Mistral-Small-3.2,0-20,4.917738478027867,933,4.513464287610262,5.364878736644395,3.363290460878885,2.8947039800841976,3.8867796696413084,BCa,combo,Point-Hint
Mistral-Small-3.2,20-40,8.36111111111111,108,7.12962962962963,9.87962962962963,-1.6203703703703705,-3.611111111111111,0.5648148148148148,BCa,combo,Point-Hint
Mistral-Small-3.2,40-60,14.173913043478262,46,11.80533605028628,16.565217391304348,-9.217391304347826,-13.021739130434783,-5.1521739130434785,BCa,combo,Point-Hint
Mistral-Small-3.2,60-80,18.789473684210527,38,14.2053667129837,23.68421052631579,-17.42105263157895,-22.81578947368421,-12.421052631578947,BCa,combo,Point-Hint
Mistral-Small-3.2,80-100,24.0,30,19.966666666666665,29.033333333333335,-24.0,-29.17845047100338,-19.933333333333334,BCa,combo,Point-Hint
Gemma-3-12B,0-20,7.2898713826366555,933,6.756030018129371,7.855984733879163,6.7175241157556265,6.16353422621163,7.320539440306782,BCa,combo,Point-Hint
Gemma-3-12B,20-40,13.601851851851851,108,11.75,15.75925925925926,4.638888888888889,1.6111111111111112,7.840712928972034,BCa,combo,Point-Hint
Gemma-3-12B,40-60,13.08695652173913,46,10.543478260869565,15.828859640277939,-1.173913043478261,-5.673913043478261,3.3260869565217392,BCa,combo,Point-Hint
Gemma-3-12B,60-80,14.342105263157896,38,11.026315789473685,18.270875301941487,-9.131578947368421,-14.303532589158175,-4.2368421052631575,BCa,combo,Point-Hint
Gemma-3-12B,80-100,23.0,30,18.766666666666666,29.066666666666666,-23.0,-29.166666666666668,-18.933333333333334,BCa,combo,Point-Hint
Qwen-2.5,0-20,4.2379957127545556,933,3.8702036441586283,4.627401737459595,2.9313504823151124,2.525088629943536,3.3761772587579624,BCa,combo,Detailed
Qwen-2.5,20-40,6.87962962962963,108,5.703703703703703,8.481481481481481,0.32407407407407407,-1.5092592592592593,2.25,BCa,combo,Detailed
Qwen-2.5,40-60,15.347826086956522,46,12.905602604493486,17.717391304347824,-12.478260869565217,-15.748356272841328,-8.630434782608695,BCa,combo,Detailed
Qwen-2.5,60-80,23.710526315789473,38,18.894736842105264,28.42105263157895,-22.55263157894737,-27.68421052631579,-17.05263157894737,BCa,combo,Detailed
Qwen-2.5,80-100,21.666666666666668,30,17.166666666666668,27.633333333333333,-21.666666666666668,-27.366666666666667,-17.1417348330855,BCa,combo,Detailed
Gemma-3-27B,0-20,12.22556270096463,933,11.702491131731255,12.804311860035458,12.15,11.621094034697169,12.721346944017737,BCa,combo,Grid-Overlay
Gemma-3-27B,20-40,9.722222222222221,108,8.175925925925926,11.636649211087995,7.685185185185185,5.738686160600691,9.828289089905951,BCa,combo,Grid-Overlay
Gemma-3-27B,40-60,10.91304347826087,46,8.76086956521739,13.282608695652174,-4.0,-7.521739130434782,-0.043478260869565216,BCa,combo,Grid-Overlay
